站点ID,站点名称,线路编号,序号,经纬度
BV10041272,盘山道,653路,14,"117.276162,39.141348"
BV10550139,凤岐里,653路,15,"117.273641,39.141372"
BV10041452,卫昆桥,653路,16,"117.269263,39.148935"
BV10041451,大众家园,653路,17,"117.260452,39.150232"
BV10041450,临营西里,653路,18,"117.251727,39.149722"
BV10041449,乐东南里,653路,19,"117.248837,39.149714"
BV10041448,玉山里,653路,20,"117.243638,39.14989"
BV10041453,秀山花园,653路,21,"117.238225,39.150124"
BV10041442,王串场六号路,653路,22,"117.232726,39.150087"
BV10041441,王串场三号路,653路,23,"117.228147,39.149575"
BV10040847,莹津里,653路,24,"117.224049,39.148798"
BV11427479,明溪里,653路,25,"117.220582,39.152179"
BV10733773,新大路,653路,26,"117.211445,39.152248"
BV10040523,小树林,653路,27,"117.208077,39.149915"
BV10040522,十字街,653路,28,"117.204298,39.148535"
BV10040521,望海楼,653路,29,"117.196093,39.147566"
BV10040520,通北路,653路,30,"117.192436,39.148163"
BV10041440,天奕商城,653路,31,"117.189463,39.149676"
BV10041439,金华桥,653路,32,"117.183212,39.149826"
BV10040259,三条石,653路,33,"117.179733,39.153164"
BV10040243,西于庄,653路,34,"117.173875,39.166506"
BV10040257,西沽,653路,35,"117.172201,39.173694"
BV10040244,丁字沽,653路,36,"117.167179,39.177205"
BV10040245,勤俭道,653路,37,"117.163296,39.179074"
BV10040247,丁字沽四段,653路,38,"117.160078,39.180625"
BV10040248,丁字沽八段,653路,39,"117.155396,39.182869"
BV11151857,丁字沽十三段站,653路,40,"117.14949,39.185707"
BV10044831,本溪路公交站,653路,41,"117.144641,39.187267"
BV10428895,绥中南楼,653路,42,"117.142627,39.184888"
BV10040790,本溪楼,653路,43,"117.140824,39.182728"
BV10043882,裕国楼,653路,44,"117.139083,39.180691"
BV09268422,竹山南道公交站,653路,45,"117.137867,39.175584"
BV10044018,海泰南公交站,862路(临时),1,"117.077972,39.073788"
BV11541402,三安光电,862路(临时),2,"117.084032,39.073516"
BV10041307,华庄子,862路(临时),3,"117.091172,39.07645"
BV10041306,海泰发展基地,862路(临时),4,"117.096806,39.079506"
BV10041305,蓝天高科,862路(临时),5,"117.092935,39.081829"
BV10636418,华翼蓝天,862路(临时),6,"117.091162,39.085256"
BV10041303,宝德学院,862路(临时),7,"117.092331,39.088806"
BV10041871,城建大学,862路(临时),8,"117.094747,39.088813"
BV10041301,农学院,862路(临时),9,"117.098662,39.088818"
BV10041300,侯台村,862路(临时),10,"117.117121,39.098529"
BV11111170,新技术产业园区,862路(临时),11,"117.12439,39.097569"
BV10041629,王顶堤金冠里,862路(临时),12,"117.142473,39.098721"
BV10983829,天津图书馆,862路(临时),13,"117.157829,39.099529"
BV10041354,周邓纪念馆,862路(临时),14,"117.164282,39.09558"
BV11266052,复康路八里台,862路(临时),15,"117.173432,39.100436"
BV10040762,医科大学,862路(临时),16,"117.186108,39.10672"
BV10040428,何兴村,862路(临时),17,"117.187723,39.11054"
BV10040429,沙市道,862路(临时),18,"117.18964,39.108472"
BV10040430,规划里,862路(临时),19,"117.192507,39.105585"
BV10040389,西康路,862路(临时),20,"117.198053,39.103321"
BV10040391,昆明路,862路(临时),21,"117.199486,39.104359"
BV10040392,湛江路,862路(临时),22,"117.202861,39.106953"
BV10040393,外国语大学,862路(临时),23,"117.206917,39.109194"
BV11430081,马场道香港路,862路(临时),24,"117.211282,39.111395"
BV10040404,合肥道,862路(临时),25,"117.216522,39.112755"
BV10040395,凯旋门站,862路(临时),26,"117.218859,39.113841"
BV11624710,长城公寓,862路(临时),27,"117.231927,39.121081"
BV10040663,十四经路,862路(临时),28,"117.235168,39.120655"
BV10040614,十五经路,862路(临时),29,"117.238213,39.117455"
BV11430236,津塘路地铁站,862路(临时),30,"117.242381,39.117271"
BV10040748,泰兴南路,862路(临时),31,"117.253678,39.123015"
BV11646079,泰昌路地铁站,862路(临时),32,"117.256707,39.122052"
BV10403597,第六大道公交站,862路(临时),33,"117.261671,39.117282"
BV10995450,天津西站公交站,910路,1,"117.166013,39.156211"
BV10040242,小伙巷,910路,2,"117.171727,39.150681"
BV10040554,运河北路,910路,3,"117.176784,39.149737"
BV10040555,河北大街,910路,4,"117.17878,39.149075"
BV10041431,永乐桥,910路,5,"117.182265,39.1524"
BV10042136,元纬路,910路,6,"117.189965,39.157235"
BV09198871,第九八三医院,910路,7,"117.190313,39.160942"
BV09053292,志成路京津桥口,910路,8,"117.188972,39.164814"
BV10042056,天津外国语学校,910路,9,"117.195509,39.168316"
BV10044882,十三号大院,910路,10,"117.203331,39.173008"
BV10040923,张兴庄,910路,11,"117.206375,39.179535"
BV10040922,仓联庄,910路,12,"117.200668,39.186169"
BV10041575,普兴里,910路,13,"117.198647,39.195538"
BV10403346,普祥里,910路,14,"117.201308,39.202534"
BV10040742,都市桃源公寓,910路,15,"117.199463,39.204445"
BV10040741,宸宜花园,910路,16,"117.195723,39.208815"
BV10040740,淮和园,910路,17,"117.193423,39.211509"
BV11547999,淮祥园,910路,18,"117.191591,39.213697"
BV11547998,淮兴园,910路,19,"117.189804,39.215819"
BV11320592,淮河道地铁站(东行),910路,20,"117.192296,39.219952"
BV11320591,淮河道地铁站(西行),910路,21,"117.192183,39.22049"
BV11318465,北润华庭,910路,22,"117.187539,39.22451"
BV11318464,职业大学地铁站,910路,23,"117.182786,39.230095"
BV11320593,沁河中道,910路,24,"117.179219,39.234275"
BV11318466,北辰道地铁站,910路,25,"117.174045,39.24036"
BV10843404,蓝玺冷链物流,910路,26,"117.176554,39.243307"
BV11595139,天津新能源基地公交站,910路,27,"117.173138,39.251927"
BV10858115,高新区地铁站公交站,624路东线,1,"117.09681,39.071875"
BV10044972,成科机电,624路东线,2,"117.100113,39.074826"
BV10044123,赛象科技,624路东线,3,"117.098963,39.081823"
BV11488144,高新区党群活动中心,624路东线,4,"117.096806,39.083798"
BV10401351,发展二道,624路东线,5,"117.094488,39.086046"
BV10041870,华科大街,624路东线,6,"117.091147,39.09261"
BV10044968,华鼎智地,624路东线,7,"117.089031,39.100962"
BV10044969,华科二路,624路东线,8,"117.082918,39.100161"
BV10044970,天地伟业,624路东线,9,"117.08451,39.097705"
BV11293182,华科一路,624路东线,10,"117.087528,39.09546"
BV10041868,海泰北公交站,624路东线,11,"117.081161,39.09713"
BV10566717,学院区公交站,104路,1,"117.702964,39.085634"
BV10042795,天津科技大学,104路,2,"117.707565,39.082904"
BV10042462,六合镁,104路,3,"117.712357,39.081724"
BV10042461,裕腾置业,104路,4,"117.718508,39.080262"
BV10040969,泰达公交公司,104路,5,"117.719078,39.074612"
BV10040963,污水处理厂,104路,6,"117.717153,39.071425"
BV11275984,热电公司(南海路),104路,7,"117.714882,39.067768"
BV10040967,村元电子,104路,8,"117.712463,39.063507"
BV10040970,津滨发展,104路,9,"117.710632,39.05817"
BV10042764,雀巢公司,104路,10,"117.709054,39.053616"
BV10042459,斯坦雷电器,104路,11,"117.706502,39.046185"
BV10040994,开泰科技园,104路,12,"117.703995,39.043968"
BV11368918,百合路,104路,13,"117.696714,39.046597"
BV10042457,北洋集装箱,104路,14,"117.692526,39.048108"
BV10042456,顶益食品,104路,15,"117.688698,39.049505"
BV10042455,梅兰日兰,104路,16,"117.684219,39.05089"
BV10042454,金江路,104路,17,"117.668799,39.054808"
BV10042453,丹江路,104路,18,"117.664235,39.055102"
BV10043370,工农村,104路,19,"117.656075,39.054474"
BV10044769,鸿正绿色家园,104路,20,"117.650096,39.045402"
BV10042448,奥林花园,104路,21,"117.653683,39.044589"
BV10042447,莱茵春天,104路,22,"117.655726,39.044155"
BV10040201,塘沽党校,104路,23,"117.659375,39.041729"
BV10040191,宜昌里,104路,24,"117.657326,39.036221"
BV10040208,贵阳里,104路,25,"117.656713,39.03457"
BV10040209,胜利宾馆,104路,26,"117.655937,39.03244"
BV10040204,泰和城小区,104路,27,"117.65461,39.028919"
BV10040205,塘沽大剧院,104路,28,"117.651492,39.020411"
BV10040149,浙江路小学,104路,29,"117.650085,39.019585"
BV10746640,工人新村(上海道),104路,30,"117.644142,39.020901"
BV10746642,实验学校(福建西路),104路,31,"117.644343,39.023307"
BV10715562,塘沽火车站(营口道),104路,32,"117.643068,39.025118"
BV10040122,滨海龙都小区,104路,33,"117.638882,39.027682"
BV10040137,新河船厂,104路,34,"117.632416,39.029396"
BV10040135,胡北路,104路,35,"117.624388,39.03145"
BV10040134,红光家园,104路,36,"117.617737,39.033375"
BV10042314,滨海客运总站,104路,37,"117.613841,39.03339"
BV10040131,胡家园,104路,38,"117.610291,39.030716"
BV10040130,塘沽职专,104路,39,"117.605156,39.029716"
BV11477149,公路服务中心,104路,40,"117.601425,39.029926"
BV10040128,远洋城,104路,41,"117.59645,39.03026"
BV10040146,菁华津城,104路,42,"117.593704,39.030449"
BV10446581,头道沟,104路,43,"117.586479,39.030945"
BV10436395,六道沟,104路,44,"117.580633,39.031345"
BV10040144,馨桥园,104路,45,"117.576307,39.030318"
BV10040143,欣美园,104路,46,"117.578056,39.025009"
BV10040166,旭辉澜郡,104路,47,"117.580777,39.019384"
BV10040165,万通供热,104路,48,"117.579601,39.016176"
BV10040164,觉顺园,104路,49,"117.573921,39.014065"
BV11210482,西部新城(中七路),104路,50,"117.573074,39.011387"
BV11210480,塘沽育才学校,104路,51,"117.574776,39.011036"
BV11210481,贻成知祥园,104路,52,"117.578232,39.01231"
BV11210479,塘沽二幼,104路,53,"117.581248,39.013422"
BV11132733,西部新城公交站,104路,54,"117.584686,39.01469"
BV10040177,宝山道,105路支线,1,"117.660515,39.053963"
BV10040178,康乐园,105路支线,2,"117.664645,39.043032"
BV10040204,泰和城小区,105路支线,3,"117.654591,39.028889"
BV10042313,塘沽火车站,105路支线,4,"117.643049,39.025101"
BV10042314,滨海客运总站,105路支线,5,"117.613847,39.033391"
BV10040131,胡家园,105路支线,6,"117.610275,39.030711"
BV10040146,菁华津城,105路支线,7,"117.593749,39.030447"
BV10436395,六道沟,105路支线,8,"117.580633,39.031345"
BV10040144,馨桥园,105路支线,9,"117.576308,39.030316"
BV10040166,旭辉澜郡,105路支线,10,"117.580779,39.019384"
BV11030808,善门口村,105路支线,11,"117.583931,39.006284"
BV11030811,容器厂,105路支线,12,"117.580612,39.006154"
BV11294616,宇康园,105路支线,13,"117.575494,39.005796"
BV11030799,大埝村,105路支线,14,"117.567702,39.003608"
BV11030805,于庄子小学,105路支线,15,"117.546905,38.99868"
BV10044119,佟楼公交站,698路,1,"117.194185,39.100389"
BV10040388,儿童医院,698路,2,"117.200781,39.099166"
BV10040936,友谊路,698路,3,"117.206467,39.09799"
BV10040935,四新宿舍,698路,4,"117.211838,39.096653"
BV11430044,西南楼地铁站,698路,5,"117.214957,39.095764"
BV10782605,广东路西南楼,698路,6,"117.216051,39.093331"
BV11044200,乐园道地铁站,698路,7,"117.218937,39.091254"
BV10041073,科技馆,698路,8,"117.219058,39.08684"
BV09072535,医大二院站,698路,9,"117.221466,39.084141"
BV11156772,医大二院地铁站,698路,10,"117.223969,39.081843"
BV11154470,平江南里,698路,11,"117.223283,39.079637"
BV11430090,天津第四中学,698路,12,"117.229927,39.079796"
BV10041068,文才公寓站,698路,13,"117.231927,39.077513"
BV11454335,郁江溪岸站,698路,14,"117.236871,39.074293"
BV11454334,天房美棠站,698路,15,"117.241224,39.073346"
BV10041473,怒江道,698路,16,"117.250641,39.07188"
BV10041474,河西支队,698路,17,"117.250239,39.068752"
BV10041485,海翔公寓,698路,18,"117.248444,39.064671"
BV09248059,玛钢厂地铁站,698路,19,"117.251553,39.062346"
BV10403370,龙江里,698路,20,"117.252808,39.059297"
BV10041477,九江里,698路,21,"117.257561,39.058594"
BV10041693,三水南里,698路,22,"117.260726,39.056798"
BV10041691,榆林路,698路,23,"117.261424,39.054466"
BV10041460,枫林路,698路,24,"117.258303,39.053546"
BV10041461,怡林园,698路,25,"117.257751,39.050373"
BV10041462,浯水道,698路,26,"117.261571,39.05056"
BV10403350,浯水道桂江里,698路,27,"117.264705,39.050569"
BV09231267,浯水道泽山路,698路,28,"117.2747,39.052568"
BV11029800,龙瀚东园,698路,29,"117.281464,39.054653"
BV10041210,北马集,698路,30,"117.284904,39.054176"
BV09160565,渌水道津陵路,698路,31,"117.290161,39.051853"
BV10403349,渌水道人人乐,698路,32,"117.293465,39.053593"
BV10045002,双马公交站,698路,33,"117.294418,39.050603"
BV11226361,双港新家园东公交站,304路,1,"117.293533,39.017096"
BV10041726,新尚园,304路,2,"117.294083,39.012413"
BV10340173,华润中央公园,304路,3,"117.293724,39.008564"
BV10971282,双港新家园,304路,4,"117.289958,39.006789"
BV11587442,金秋新苑,304路,5,"117.286706,39.00785"
BV11587443,盈翠名苑,304路,6,"117.283398,39.012166"
BV11591765,领世路景荷道,304路,7,"117.28038,39.016142"
BV10442865,香堤苑,304路,8,"117.279891,39.019436"
BV10414166,双港新家园北,304路,9,"117.279835,39.022921"
BV11638972,重庆街,304路,10,"117.279413,39.027471"
BV11675491,双港地铁站,304路,11,"117.276415,39.032296"
BV10042382,郭黄庄,304路,12,"117.274377,39.036953"
BV10403646,环美大酒店,304路,13,"117.273201,39.041653"
BV11667765,渌水道地铁站,304路,14,"117.269429,39.046104"
BV11638974,微山路浯水道,304路,15,"117.267921,39.049583"
BV10449477,微山路桂江里,304路,16,"117.266762,39.052605"
BV10041745,微山路贵山里,304路,17,"117.265511,39.056076"
BV10442857,微山路双水道,304路,18,"117.264731,39.058346"
BV10041696,陵水道,304路,19,"117.263637,39.061454"
BV10555886,华山里地铁站,304路,20,"117.26237,39.064983"
