车站ID,名称,路线,序号,经度,纬度
BV09160581,览桥里,1路,1,117.240666,39.172906
BV10040692,三和小区,1路,2,117.237761,39.175733
BV11379810,建昌道地铁站,1路,3,117.235332,39.179017
BV10040697,春和仁居,1路,4,117.231567,39.177959
BV10040691,建昌桥,1路,5,117.22803,39.175915
BV11146649,泗阳道,1路,6,117.224467,39.173881
BV11323236,建昌道育红路,1路,7,117.222226,39.171613
BV10040688,建昌道,1路,8,117.222639,39.169305
BV11424935,中山北路育红路,1路,9,117.226376,39.166554
BV11430082,北宁公园地铁站,1路,10,117.221612,39.166076
BV10702460,北宁公园,1路,11,117.215339,39.165994
BV10040683,北站,1路,12,117.206157,39.163988
BV09138392,中山路地铁站,1路,13,117.203994,39.161942
BV10702450,宙纬路,1路,14,117.20047,39.158203
BV10702451,黄纬路站,1路,15,117.199234,39.15704
BV10702445,金钢桥,1路,16,117.195511,39.153008
BV10040682,东北角,1路,17,117.190287,39.143095
BV09189350,东南角,1路,18,117.190365,39.13978
BV09135992,东南角地铁站,1路,19,117.190438,39.13571
BV10040701,新华路百货大楼,1路,20,117.189955,39.132056
BV10483865,蓉芳里,1路,21,117.187316,39.12858
BV10483864,万全道,1路,22,117.191569,39.127266
BV11430047,河北路哈密道,1路,23,117.195221,39.125386
BV11430046,河北路滨江道,1路,24,117.20023,39.123251
BV11430220,营口道山东路站,1路,25,117.203447,39.122463
BV11237355,和平路地铁站,1路,26,117.205221,39.127674
BV10502416,津塔公交站,1路,27,117.201208,39.128519
BV10404228,跃升里公交站,3路,1,117.117897,39.152917
BV10404017,冬云里,3路,2,117.12152,39.153236
BV09186166,青云桥,3路,3,117.127186,39.153256
BV10040822,锦园里,3路,4,117.127689,39.149988
BV09074923,青云桥南,3路,5,117.126096,39.147143
BV10040819,汾水道,3路,6,117.126115,39.141094
BV10040830,雅润嘉园,3路,7,117.128143,39.137726
BV10040831,向阳路,3路,8,117.131048,39.136257
BV10040832,泾水园,3路,9,117.131064,39.132445
BV10040815,西昌里,3路,10,117.132427,39.130534
BV10040814,左云里,3路,11,117.136482,39.130524
BV10040813,长江公寓,3路,12,117.142752,39.130521
BV10040812,公交三公司,3路,13,117.147687,39.130512
BV10040811,凯立家园,3路,14,117.158295,39.129318
BV10040810,南丰路,3路,15,117.164931,39.126541
BV10040809,南开三马路,3路,16,117.172615,39.124115
BV11430231,海光寺地铁站,3路,17,117.176573,39.122739
BV10844549,南京路海光寺,3路,18,117.182276,39.120892
BV11038528,鞍山道地铁站,3路,19,117.188637,39.120152
BV10040806,滨江道,3路,20,117.195404,39.119194
BV10040805,长沙路,3路,21,117.202179,39.117708
BV10040804,湖北路,3路,22,117.20934,39.116632
BV10040828,小营门,3路,23,117.213921,39.115551
BV10040803,大营门,3路,24,117.218704,39.113117
BV10040827,天津图书大厦,3路,25,117.221283,39.110218
BV11357724,下瓦房公交站,3路,26,117.223989,39.105725
BV10691119,天津站公交站,5路,1,117.205966,39.135983
BV09246907,建国道地铁站,5路,2,117.201632,39.138333
BV11660684,胜利路,5路,3,117.198744,39.140084
BV10040418,平安街,5路,4,117.196324,39.138095
BV10702448,时代广场,5路,5,117.187492,39.136974
BV10702453,鼓楼东,5路,6,117.186263,39.140642
BV10040562,城厢东路,5路,7,117.185816,39.143529
BV09271087,北门,5路,8,117.182921,39.146128
BV11181469,估衣街,5路,9,117.181076,39.147482
BV10040259,三条石,5路,10,117.179733,39.153164
BV10040243,西于庄,5路,11,117.173921,39.166276
BV10040257,西沽,5路,12,117.172136,39.173453
BV09109979,桃花园南里,5路,13,117.168394,39.179071
BV10041052,丁字沽公交站,5路,14,117.165605,39.181628
BV10691119,天津站公交站,8路,1,117.205773,39.13599
BV11660684,胜利路,8路,2,117.198744,39.140084
BV10040418,平安街,8路,3,117.196324,39.138095
BV11275350,意式风情区,8路,4,117.196142,39.135358
BV10040419,百货大楼,8路,5,117.191133,39.131589
BV10040677,保安大街,8路,6,117.184245,39.126194
BV11628495,多伦道甘肃路,8路,7,117.184154,39.124926
BV10844549,南京路海光寺,8路,8,117.182276,39.120892
BV10040425,总医院,8路,9,117.186501,39.11935
BV10040426,新兴路,8路,10,117.184543,39.117051
BV10664928,七里台,8路,11,117.179605,39.111973
BV10664927,八里台,8路,12,117.179427,39.10582
BV10599331,天塔地铁站,8路,13,117.177574,39.095872
BV10041360,水上公园,8路,14,117.175522,39.092435
BV10040289,苍穹道,8路,15,117.180082,39.088446
BV11296186,环湖西里,8路,16,117.181333,39.082692
BV10041640,体育中心北,8路,17,117.17546,39.079375
BV09196105,体育中心西,8路,18,117.172661,39.077639
BV10044735,体育中心公交站,8路,19,117.172976,39.073216
BV10691119,天津站公交站,9路,1,117.206195,39.135859
BV11066840,渤海大楼,9路,2,117.205009,39.127691
BV11425536,河北路山东路,9路,3,117.201789,39.122467
BV11426777,河北路烟台道,9路,4,117.203972,39.119797
BV10041867,黄家花园,9路,5,117.203285,39.11496
BV10041866,桂林路,9路,6,117.197231,39.109852
BV10041864,体育馆,9路,7,117.195037,39.107846
BV10041879,贵州路天和医院,9路,8,117.194204,39.102205
BV10040937,佟楼,9路,9,117.190371,39.100638
BV10040780,气象台路德才里,9路,10,117.18607,39.098786
BV10040530,东风里,9路,11,117.186017,39.094707
BV10041174,气象南里,9路,12,117.185028,39.088716
BV10041165,华夏未来,9路,13,117.185391,39.085272
BV10041164,体院北,9路,14,117.188233,39.081057
BV11427688,环湖中路体北道,9路,15,117.190598,39.076641
BV10041715,环湖中路,9路,16,117.192228,39.072189
BV10041716,纪庄子前街,9路,17,117.189178,39.071262
BV10040537,中石油桥,9路,18,117.187439,39.067953
BV10040538,津涞花园,9路,19,117.185421,39.065352
BV10040539,杨楼,9路,20,117.178589,39.063142
BV10044902,惠鑫花园,9路,21,117.173929,39.0592
BV10044901,中盛里,9路,22,117.17501,39.055895
BV10042212,芳溪园,9路,23,117.17261,39.054255
BV10042507,金丽花园,9路,24,117.170581,39.057042
BV10040541,王台村,9路,25,117.156606,39.057044
BV10040531,邓店村,9路,26,117.150871,39.055466
BV09219097,理工大学主校区,9路,27,117.146286,39.054485
BV11528134,喜峰道西公交站,12路,1,117.188095,39.183494
BV10041110,榆关道,12路,2,117.184908,39.183373
BV10426051,南口路,12路,3,117.189074,39.179257
BV10041102,新开桥,12路,4,117.194973,39.172751
BV10041104,河北四马路,12路,5,117.202366,39.165644
BV09138392,中山路地铁站,12路,6,117.20365,39.161409
BV10702450,宙纬路,12路,7,117.20047,39.158203
BV10702451,黄纬路站,12路,8,117.19912,39.156937
BV10702445,金钢桥,12路,9,117.195511,39.153008
BV10040305,东马路,12路,10,117.188815,39.145946
BV09271087,北门,12路,11,117.182816,39.14613
BV10040303,中研院附属医院,12路,12,117.173851,39.146446
BV11040905,西北角地铁站,12路,13,117.17168,39.145486
BV10040300,南马路,12路,14,117.171875,39.13987
BV11427260,翔宇公园,12路,15,117.173726,39.133356
BV09130088,二纬路地铁站,12路,16,117.174621,39.129743
BV10040297,长江道,12路,17,117.174373,39.126068
BV11430231,海光寺地铁站,12路,18,117.176573,39.122739
BV11296187,六里台,12路,19,117.179657,39.11628
BV10664928,七里台,12路,20,117.179606,39.112058
BV10664927,八里台,12路,21,117.179427,39.10582
BV10599331,天塔地铁站,12路,22,117.177574,39.095872
BV10041360,水上公园,12路,23,117.175522,39.092435
BV10040289,苍穹道,12路,24,117.180082,39.088446
BV11296186,环湖西里,12路,25,117.181333,39.082692
BV11296199,体育中心东,12路,26,117.182491,39.077522
BV11427425,奥体道,12路,27,117.18322,39.074181
BV10040284,李七庄,12路,28,117.184448,39.070877
BV10040537,中石油桥,12路,29,117.187416,39.067978
BV09271791,纪明家园站,12路,30,117.190163,39.06492
BV09053294,丽江道地铁站,12路,31,117.192434,39.061436
BV10041819,王兰庄,12路,32,117.193613,39.057833
BV11667764,梅江西路,12路,33,117.19633,39.056894
BV10044976,云舒花园,12路,34,117.20147,39.05266
BV10044977,万绿花园,12路,35,117.201039,39.046713
BV10044978,海波道,12路,36,117.200999,39.041992
BV10044979,逸涛园,12路,37,117.201544,39.038452
BV10044980,梅江西公交站,12路,38,117.198825,39.038908
BV10691119,天津站公交站,13路,1,117.206226,39.136196
BV10040405,台儿庄路津湾广场,13路,2,117.2125,39.129401
BV10040406,大连道,13路,3,117.213448,39.125783
BV10040407,泰安道,13路,4,117.215736,39.12001
BV11646076,徐州道地铁站,13路,5,117.218139,39.116081
BV10040395,凯旋门,13路,6,117.218785,39.113893
BV10040404,合肥道,13路,7,117.215466,39.112468
BV11430081,马场道香港路,13路,8,117.211417,39.111534
BV10040393,外国语大学,13路,9,117.206317,39.109082
BV10040392,湛江路,13路,10,117.203187,39.107314
BV10040391,昆明路,13路,11,117.198665,39.103822
BV10040388,儿童医院,13路,12,117.200785,39.099165
BV10885061,鑫银大厦,13路,13,117.203191,39.096746
BV11027443,银河广场北,13路,14,117.203134,39.09194
BV11259730,天津宾馆地铁站,13路,15,117.198064,39.085117
BV10040383,宾水桥,13路,16,117.192154,39.081779
BV10403492,体院北公交站,13路,17,117.187819,39.080582
BV10040240,西站公交站,15路,1,117.166334,39.156216
BV10040552,大丰西胡同,15路,2,117.169357,39.154274
BV10040553,御河湾,15路,3,117.173325,39.153737
BV10040554,运河北路,15路,4,117.176784,39.149737
BV10040555,河北大街,15路,5,117.17878,39.149075
BV11181469,估衣街,15路,6,117.180838,39.147734
BV09271087,北门,15路,7,117.183338,39.14599
BV10040305,东马路,15路,8,117.187695,39.145833
BV10040521,望海楼,15路,9,117.196511,39.147471
BV10040522,十字街,15路,10,117.203037,39.1482
BV10040412,开云大厦,15路,11,117.220154,39.156481
BV10040564,芳景里,15路,12,117.223989,39.158411
BV10040565,王串场,15路,13,117.231995,39.158437
BV10040927,正义道,15路,14,117.234924,39.15329
BV10041453,秀山花园,15路,15,117.23769,39.150065
BV10041448,玉山里,15路,16,117.241623,39.150012
BV11038495,幸福公园地铁站,15路,17,117.244278,39.156388
BV10401232,汇光小区,15路,18,117.244463,39.159575
BV10040569,靖江桥,15路,19,117.245392,39.162945
BV11171124,月牙河地铁站,15路,20,117.245904,39.164794
BV10042134,靖江东里,15路,21,117.250822,39.165707
BV10919550,乌江北里,15路,22,117.251831,39.167656
BV10502416,津塔公交站,20路,1,117.201358,39.129056
BV11066840,渤海大楼,20路,2,117.205009,39.127691
BV11426777,河北路烟台道,20路,3,117.203972,39.119797
BV10040804,湖北路,20路,4,117.20934,39.116632
BV10040828,小营门,20路,5,117.213921,39.115551
BV10040803,大营门,20路,6,117.218704,39.113117
BV10040827,天津图书大厦,20路,7,117.221283,39.110218
BV10040801,下瓦房地铁站,20路,8,117.223366,39.104156
BV10041196,东楼,20路,9,117.223117,39.099823
BV11040860,南楼地铁站,20路,10,117.22374,39.094822
BV10537863,大沽南路日报大厦,20路,11,117.225573,39.092358
BV11430048,土城地铁站,20路,12,117.229553,39.090473
BV11590955,大沽南路,20路,13,117.232193,39.086472
BV10041488,黑牛城道,20路,14,117.232029,39.082025
BV11430090,天津第四中学,20路,15,117.229748,39.080239
BV11154470,平江南里,20路,16,117.222703,39.080025
BV10041161,文玥里,20路,17,117.215644,39.079028
BV10901290,天津有线电视台,20路,18,117.221681,39.068645
BV10898304,瑞江道,20路,19,117.228657,39.069203
BV11296196,珠江装饰城,20路,20,117.231888,39.065742
BV10041539,名都新园,20路,21,117.234336,39.063546
BV09053290,春海路地铁站,20路,22,117.240691,39.063415
BV10041537,珠江桥,20路,23,117.24628,39.062578
BV09248059,玛钢厂地铁站,20路,24,117.251553,39.062346
BV10403370,龙江里,20路,25,117.252808,39.059297
BV10041477,九江里,20路,26,117.257561,39.058594
BV10041693,三水南里,20路,27,117.260726,39.056798
BV10041691,榆林路,20路,28,117.261424,39.054466
BV10041460,枫林路,20路,29,117.258303,39.053546
BV10041461,怡林园,20路,30,117.257751,39.050373
BV10403542,浯水道公交站,20路,31,117.261007,39.050298
BV10041052,丁字沽公交站,22路西线,1,117.165864,39.182704
BV10040920,勤俭桥,22路西线,2,117.163772,39.181173
BV10040247,丁字沽四段,22路西线,3,117.160078,39.180625
BV10040248,丁字沽八段,22路西线,4,117.155396,39.182869
BV11151857,丁字沽十三段,22路西线,5,117.14949,39.185707
BV10040572,本溪路,22路西线,6,117.144641,39.187267
BV10428895,绥中南楼,22路西线,7,117.142604,39.184865
BV10040790,本溪楼,22路西线,8,117.140824,39.182728
BV10043882,裕国楼,22路西线,9,117.139083,39.180691
BV10041329,千里堤翠溪园,22路西线,10,117.13427,39.182625
BV11109831,光荣道天平路,22路西线,11,117.131766,39.184306
BV11108351,暖洋家园,22路西线,12,117.12542,39.186138
BV11109830,光荣道辰盛路,22路西线,13,117.12014,39.187439
BV11108397,瑞通里,22路西线,14,117.118683,39.189297
BV10041255,瑞达里,22路西线,15,117.11795,39.191463
BV10521536,龙武道,22路西线,16,117.111694,39.193821
BV10041342,瑞景小学,22路西线,17,117.110863,39.198128
BV10041341,瑞景西道,22路西线,18,117.10704,39.201611
BV10041340,秋瑞家园,22路西线,19,117.108429,39.204357
BV10403710,龙洲道公交站,22路西线,20,117.108875,39.20677
BV10691119,天津站公交站,24路,1,117.205949,39.13623
BV10874177,津塔,24路,2,117.200756,39.129071
BV11677847,金街,24路,3,117.195671,39.130711
BV10773014,兴安路北安桥口,24路,4,117.192803,39.133432
BV10040679,兴安路南市,24路,5,117.191784,39.135955
BV10702448,时代广场站,24路,6,117.187592,39.136971
BV10702453,鼓楼东,24路,7,117.186263,39.140642
BV10040562,城厢东路,24路,8,117.185846,39.143429
BV09271087,北门,24路,9,117.182816,39.14613
BV10040303,中研院附属医院,24路,10,117.174006,39.146441
BV10041042,大丰桥,24路,11,117.169121,39.151375
BV10040240,西站公交站,24路,12,117.166711,39.156579
BV10691119,天津站公交站,27路,1,117.205966,39.135983
BV10040416,新货场,27路,2,117.200988,39.141503
BV10040415,昌海公寓,27路,3,117.204592,39.145608
BV10040729,陈家沟,27路,4,117.208095,39.147322
BV09053287,金狮桥地铁站,27路,5,117.209442,39.152652
BV10040727,东六经路,27路,6,117.208278,39.155339
BV10040726,昆纬路,27路,7,117.206498,39.15967
BV10040683,北站,27路,8,117.20639,39.164059
BV10702460,北宁公园站,27路,9,117.217145,39.166007
BV11430082,北宁公园地铁站,27路,10,117.221625,39.166009
BV11424935,中山北路育红路,27路,11,117.226341,39.166489
BV10040688,建昌道,27路,12,117.225816,39.168186
BV11323236,建昌道育红路,27路,13,117.221796,39.17088
BV11146649,泗阳道,27路,14,117.224989,39.174127
BV10040691,建昌桥,27路,15,117.22703,39.175298
BV11319411,富瀛洲花园东门,27路,16,117.229042,39.179447
BV11319412,思源路地铁站,27路,17,117.226898,39.182396
BV10040736,红星桥,27路,18,117.222542,39.187659
BV09053301,宜兴南里,27路,19,117.22194,39.18987
BV11630005,津围路宜白路,27路,20,117.220048,39.194657
BV11057013,宜兴埠地铁站,27路,21,117.217632,39.196882
BV10041566,玉琢里,27路,22,117.212697,39.194107
BV10043059,民宜里,27路,23,117.20908,39.194592
BV11393460,三千路,27路,24,117.203941,39.199826
BV10403346,普祥里,27路,25,117.201308,39.202534
BV10040742,都市桃源公寓,27路,26,117.199463,39.204445
BV10040741,宸宜花园,27路,27,117.195723,39.208815
BV10040740,淮和园,27路,28,117.19355,39.211362
BV11547999,淮祥园,27路,29,117.191591,39.213697
BV11547998,淮兴园,27路,30,117.189804,39.215819
BV10040737,淮河道公交站,27路,31,117.193198,39.219456
BV10403826,泗阳道公交站,30路,1,117.218294,39.17566
BV10042135,艳益家园,30路,2,117.21745,39.173933
BV10040688,建昌道,30路,3,117.222639,39.169305
BV10040926,增产道,30路,4,117.234665,39.159618
BV10040927,正义道,30路,5,117.234924,39.15329
BV10040928,常州道,30路,6,117.2351,39.147301
BV10040843,卫国道,30路,7,117.239296,39.137806
BV10040842,向阳楼,30路,8,117.24231,39.13451
BV10040838,东风立交桥,30路,9,117.245743,39.127369
BV10040748,泰兴南路,30路,10,117.253491,39.123056
BV11646079,泰昌路地铁站,30路,11,117.256919,39.121977
BV10040929,中山门二号路,30路,12,117.254996,39.110278
BV10040604,二宫,30路,13,117.256714,39.104488
BV11042121,中山门地铁站,30路,14,117.263298,39.101276
BV09053278,昆仑桥西,30路,15,117.266655,39.099644
BV11040906,一号桥地铁站,30路,16,117.281427,39.096043
BV09093065,变电所路,30路,17,117.287964,39.095715
BV11040904,二号桥地铁站,30路,18,117.293269,39.09506
BV11116006,詹庄子站,30路,19,117.304171,39.092765
BV09118846,张贵庄地铁站,30路,20,117.307456,39.09206
BV10964043,詹滨里站,30路,21,117.310913,39.086868
BV10041959,津门里,30路,22,117.311821,39.084688
BV10700919,先锋里站,30路,23,117.31823,39.083597
BV10700921,东丽体育中心站,30路,24,117.324845,39.081764
BV10703453,鉴开中学站,30路,25,117.334163,39.078927
BV11575871,丰安路先锋路口,30路,26,117.335135,39.076193
BV11576850,新立新市镇公交站,30路,27,117.331406,39.072908
BV09094601,宝坻区客运站,31路,1,117.317305,39.717609
BV10547668,劝宝东门,31路,2,117.312031,39.714323
BV10416709,中医院,31路,3,117.305222,39.71188
BV11075885,天宝新苑,31路,4,117.304643,39.707562
BV11195464,塞纳世家,31路,5,117.301528,39.706241
BV10416835,怡购商业广场,31路,6,117.301132,39.706262
BV10416855,怡购清华园,31路,7,117.296847,39.704032
BV10416882,潮阳花园,31路,8,117.296432,39.700161
BV10416847,凯旋家园,31路,9,117.295807,39.696011
BV10948082,泰达金色领地,31路,10,117.295303,39.692635
BV10898672,中央公园,31路,11,117.300195,39.689738
BV09083527,原筑,31路,12,117.305729,39.689436
BV10950062,辛务屯,31路,13,117.330521,39.680955
BV11091581,东刘各庄,31路,14,117.335586,39.655647
BV10945308,郝各庄,31路,15,117.330017,39.635365
BV11102901,侯家庄,31路,16,117.329414,39.622421
BV11091573,庞桥头,31路,17,117.329219,39.605867
BV11091579,大五登村,31路,18,117.331401,39.593382
BV11081764,中登,31路,19,117.360143,39.600083
BV10945310,李台,31路,20,117.367558,39.600009
BV11091571,大庄子,31路,21,117.37673,39.576758
BV09291516,小庄子,31路,22,117.36908,39.575326
BV11281145,马营,31路,23,117.358711,39.573707
BV11091566,五里台,31路,24,117.355048,39.567799
BV09094604,周良水苑南门,31路,25,117.38094,39.559249
BV11588064,北京科技大学,31路,26,117.389093,39.544269
BV11372319,上京嘉园,31路,27,117.397757,39.53306
BV11391643,天津国能加气站,31路,28,117.404801,39.525509
BV10550065,朱家窝,31路,29,117.407574,39.509015
BV11195254,大白庄镇第二小学,31路,30,117.408485,39.50177
BV11105067,鸿坤原乡小镇,31路,31,117.409164,39.496517
BV11106989,范家庄,31路,32,117.420181,39.49826
BV11338105,南杨码头,31路,33,117.44515,39.510712
BV11132575,北站公交站,32路,1,117.212585,39.163231
BV10042391,花园里,32路,2,117.214027,39.159927
BV10040849,金钟河大街,32路,3,117.215172,39.157314
BV10040412,开云大厦,32路,4,117.220154,39.156481
BV10040564,芳景里,32路,5,117.223989,39.158411
BV10040565,王串场,32路,6,117.231995,39.158437
BV10040927,正义道,32路,7,117.234924,39.15329
BV10041453,秀山花园,32路,8,117.23769,39.150065
BV10041448,玉山里,32路,9,117.241623,39.150012
BV11675489,真理道,32路,10,117.244049,39.14895
BV11675488,常州里,32路,11,117.245156,39.146527
BV11294943,益寿东里,32路,12,117.250412,39.145646
BV11430153,靖江路地铁站,32路,13,117.245937,39.142448
BV11035224,翠阜新村地铁站,32路,14,117.253924,39.143325
BV10700944,上杭花园站,32路,15,117.261489,39.144015
BV10700948,万兴花园站,32路,16,117.267826,39.145048
BV10041445,松风西里,32路,17,117.275152,39.144692
BV10041272,盘山道,32路,18,117.276139,39.141182
BV10041270,崂山道,32路,19,117.277552,39.136211
BV10041269,香山道,32路,20,117.278659,39.132258
BV11392821,武警特色医学中心,32路,21,117.281567,39.130577
BV10403360,万新村南公交站,32路,22,117.284388,39.131267
BV11090002,四号桥公交站,35路,1,117.269293,39.161415
BV11087808,矽谷港湾站,35路,2,117.276884,39.163173
BV11087807,香缇花园站,35路,3,117.279379,39.163715
BV11087806,满江东道站,35路,4,117.282747,39.163021
BV10040778,丽苑小区,35路,5,117.285375,39.155837
BV10702444,云丽园,35路,6,117.280678,39.152092
BV10702456,贺兰路,35路,7,117.275013,39.150916
BV10702452,龙山道昆仑路口,35路,8,117.270256,39.150855
BV10700948,万兴花园,35路,9,117.267563,39.146244
BV10700944,上杭花园,35路,10,117.261131,39.144337
BV11035224,翠阜新村地铁站,35路,11,117.254498,39.143743
BV11430153,靖江路地铁站,35路,12,117.245937,39.142448
BV10040768,临池里,35路,13,117.252496,39.140352
BV10040767,晨光道,35路,14,117.252734,39.136602
BV10040766,奥兰里,35路,15,117.252648,39.133264
BV11430086,成林道地铁站,35路,16,117.248218,39.129893
BV10522097,天津七中,35路,17,117.240993,39.130162
BV11430219,唐口地道,35路,18,117.227826,39.13043
BV10762490,南横街,35路,19,117.223342,39.134138
BV11296211,天津站海河广场,35路,20,117.208039,39.134419
BV11066840,渤海大楼,35路,21,117.205009,39.127691
BV11430222,赤峰道山东路,35路,22,117.201521,39.123344
BV10040782,贵州路,35路,23,117.19287,39.115429
BV10040781,西康路地铁站,35路,24,117.188426,39.112481
BV10040762,医科大学,35路,25,117.185989,39.105782
BV10040780,气象台路德才里,35路,26,117.18607,39.098786
BV10040530,东风里,35路,27,117.186017,39.094707
BV11027442,天塔南,35路,28,117.181563,39.08938
BV10983395,水上公园东门公交站,35路,29,117.17408,39.091476
BV10040665,中心公园,37路,1,117.205407,39.125329
BV11237355,和平路地铁站,37路,2,117.205221,39.127674
BV10874177,津塔,37路,3,117.200776,39.129074
BV11677847,金街,37路,4,117.195671,39.130711
BV10773014,兴安路北安桥口,37路,5,117.19277,39.133496
BV10040679,兴安路南市,37路,6,117.191641,39.136086
BV10702448,时代广场,37路,7,117.187592,39.136971
BV10702453,鼓楼东,37路,8,117.186263,39.140642
BV10040562,城厢东路,37路,9,117.185846,39.143429
BV09271087,北门,37路,10,117.182816,39.14613
BV11181469,估衣街,37路,11,117.181076,39.147482
BV10040258,新三条石大街,37路,12,117.177448,39.15168
BV10040553,御河湾,37路,13,117.17454,39.15309
BV10040552,大丰西胡同,37路,14,117.169708,39.154278
BV10040798,世春里,37路,15,117.164641,39.15287
BV11680447,弘丽园,37路,16,117.158167,39.151012
BV11308198,邵公庄大街,37路,17,117.154083,39.15197
BV10040788,红旗地道,37路,18,117.150977,39.161068
BV10040792,洪湖里,37路,19,117.153289,39.168644
BV11430093,勤俭道光荣道,37路,20,117.157516,39.174343
BV10040247,丁字沽四段,37路,21,117.160078,39.180625
BV10040248,丁字沽八段,37路,22,117.155396,39.182869
BV11151857,丁字沽十三段,37路,23,117.14949,39.185707
BV10040572,本溪路,37路,24,117.144641,39.187267
BV10428895,绥中南楼,37路,25,117.142604,39.184865
BV10428896,本溪路地铁站,37路,26,117.139276,39.185582
BV10040588,佳园南里,37路,27,117.129424,39.190554
BV11058018,佳园里地铁站,37路,28,117.126923,39.193694
BV10040800,佳园北里,37路,29,117.128841,39.195673
BV10403803,辰兴路佳宁道,37路,30,117.132201,39.198251
BV10403806,连环道,37路,31,117.130247,39.200616
BV10403822,龙阳道,37路,32,117.125586,39.203872
BV10403661,辰兴路公交站,37路,33,117.12589,39.205742
BV10772974,澄江路公交站,45路专线,1,117.142204,39.103981
BV11143332,第二冷冻厂站,45路专线,2,117.144089,39.106205
BV10895723,天拖大楼,45路专线,3,117.149553,39.107442
BV11042131,天拖地铁站,45路专线,4,117.149549,39.111784
BV11042553,鞍山西道地铁站,45路专线,5,117.149534,39.114566
BV10041235,卧龙里,45路专线,6,117.154358,39.116188
BV10558946,天津大学,45路专线,7,117.162956,39.110673
BV11276937,天大四季村,45路专线,8,117.162487,39.108455
BV11276936,新园村,45路专线,9,117.1598,39.108424
BV10041543,山西路,45路,1,117.20148,39.119944
BV10040806,滨江道,45路,2,117.194239,39.119657
BV10040425,总医院,45路,3,117.186501,39.11935
BV10040426,新兴路,45路,4,117.184578,39.117092
BV10041242,天大宿舍,45路,5,117.173714,39.114487
BV10041241,西湖村,45路,6,117.17096,39.114485
BV10041249,龙井里,45路,7,117.166884,39.114475
BV10041235,卧龙里,45路,8,117.155898,39.11585
BV11042553,鞍山西道地铁站,45路,9,117.149385,39.114386
BV11042131,天拖地铁站,45路,10,117.149371,39.10997
BV10895723,天拖大楼,45路,11,117.149388,39.107447
BV11143332,第二冷冻厂,45路,12,117.143975,39.106201
BV10772974,澄江路公交站,45路,13,117.142516,39.103872
BV09268422,竹山南道公交站,47路,1,117.137887,39.175579
BV10043882,裕国楼,47路,2,117.138988,39.180511
BV10040790,本溪楼,47路,3,117.140398,39.182087
BV10044899,宁城楼,47路,4,117.14299,39.183643
BV10983071,七零七所大楼站,47路,5,117.15073,39.179859
BV09251724,勤俭道地铁站,47路,6,117.155486,39.177296
BV11430093,勤俭道光荣道,47路,7,117.157378,39.174373
BV10040792,洪湖里,47路,8,117.153053,39.168633
BV10040788,红旗地道,47路,9,117.150845,39.160902
BV10040949,西青道,47路,10,117.151283,39.151012
BV09265934,小西关,47路,11,117.149713,39.147909
BV09070063,红旗路黄河道,47路,12,117.149427,39.140664
BV10040945,长虹公园,47路,13,117.149406,39.135159
BV11038082,宜宾道地铁站,47路,14,117.14941,39.124653
BV11042553,鞍山西道地铁站,47路,15,117.149384,39.114258
BV09053275,一中心医院地铁站,47路,16,117.149407,39.104621
BV10983829,天津图书馆,47路,17,117.157829,39.099529
BV10041354,周邓纪念馆,47路,18,117.164282,39.09558
BV11266052,复康路八里台,47路,19,117.173432,39.100436
BV11426776,吴家窑地铁站,47路,20,117.190253,39.10049
BV10040937,佟楼,47路,21,117.191477,39.10049
BV10040388,儿童医院,47路,22,117.200781,39.099166
BV10885061,鑫银大厦,47路,23,117.203191,39.096744
BV11027443,银河广场北,47路,24,117.203124,39.092104
BV10041530,天津博物馆,47路,25,117.209801,39.083981
BV10491750,文化中心图书馆,47路,26,117.215324,39.084031
BV10567930,光华里,47路,27,117.218643,39.08479
BV11430230,隆昌路滦水道,47路,28,117.220156,39.090308
BV10540368,新围堤道日报大厦,47路,29,117.225812,39.093212
BV10040952,光华桥,47路,30,117.236557,39.096737
BV10040953,蝶桥公寓,47路,31,117.247292,39.103432
BV10040929,中山门二号路,47路,32,117.255204,39.110054
BV11646079,泰昌路地铁站,47路,33,117.2568,39.122529
BV10040748,泰兴南路,47路,34,117.254315,39.123371
BV10040838,东风立交桥,47路,35,117.24657,39.126773
BV10040842,向阳楼,47路,36,117.242374,39.134627
BV10040843,卫国道,47路,37,117.239036,39.138268
BV10040928,常州道,47路,38,117.235321,39.147075
BV10040927,正义道,47路,39,117.23508,39.153426
BV10040926,增产道,47路,40,117.234978,39.159327
BV10040933,民权门桥,47路,41,117.232866,39.162781
BV10040688,建昌道,47路,42,117.22308,39.169257
BV10040925,盐坨桥,47路,43,117.213854,39.17349
BV10040923,张兴庄,47路,44,117.206375,39.179535
BV10040922,仓联庄,47路,45,117.200668,39.186169
BV11372100,白庙,47路,46,117.17952,39.187874
BV10040920,勤俭桥,47路,47,117.163772,39.181173
BV09251724,勤俭道地铁站,47路,48,117.156509,39.176929
BV10983071,七零七所大楼,47路,49,117.15007,39.18034
BV10044899,宁城楼,47路,50,117.143082,39.18375
BV10040790,本溪楼,47路,51,117.140824,39.182728
BV10043882,裕国楼,47路,52,117.139083,39.180691
BV09268422,竹山南道公交站,47路,53,117.137862,39.175576
BV10044788,王顶堤公交站,50路,1,117.14651,39.08553
BV11046281,迎风道地铁站,50路,2,117.14959,39.086048
BV09060536,红旗南路园荫道,50路,3,117.149605,39.09047
